,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
0,8,7,7,8,8,9,10,10,7,8,8,9,9,11,11,11,False,True,True
1,7,5,4,5,7,7,9,10,5,5,5,6,7,8,7,6,False,True,True
2,9,11,11,11,8,8,10,9,8,11,10,9,7,11,11,11,False,True,True
3,6,7,7,11,5,7,8,6,6,7,7,6,7,7,6,5,True,False,False
4,9,5,8,8,8,8,4,6,10,10,8,6,8,10,8,11,True,False,False
5,9,6,10,9,8,11,7,11,10,9,7,9,11,9,9,12,True,False,False
6,6,5,5,4,12,8,7,8,2,5,6,6,8,10,5,8,True,True,False
7,6,4,3,6,8,7,6,8,5,6,4,7,8,10,7,10,True,True,False
8,6,3,2,3,6,8,7,6,7,7,6,5,6,5,7,11,True,True,False
9,11,12,11,13,12,13,10,9,11,10,3,11,6,12,9,11,False,False,True
10,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,False,False,True
11,12,13,10,13,11,13,13,11,11,11,12,13,13,12,13,12,False,False,True
12,8,7,8,8,11,8,7,9,11,11,10,10,11,11,11,12,True,True,True
13,10,11,7,9,9,8,10,9,10,10,11,9,10,13,13,13,True,True,True
14,8,7,7,11,6,8,10,7,7,7,10,6,9,9,9,7,True,True,True
15,10,9,9,9,6,10,8,8,10,12,10,7,12,12,12,12,True,False,True
16,11,11,10,9,12,9,7,11,7,10,10,11,12,12,11,12,True,False,True
17,8,11,10,9,9,10,8,10,8,12,9,9,6,8,8,12,True,False,True
18,5,7,6,1,8,4,5,6,4,8,10,7,7,10,9,7,False,True,True
19,4,3,3,5,4,3,3,5,4,4,3,7,3,4,3,8,False,True,True
20,8,9,11,8,10,11,8,9,11,8,11,11,9,11,8,9,False,True,True
21,3,4,6,5,13,8,5,9,4,6,4,5,8,6,10,10,True,False,False
22,3,4,6,5,7,8,5,9,4,6,4,5,8,6,10,10,True,False,False
23,3,4,6,5,7,8,5,9,4,6,4,5,8,6,10,10,True,False,False
24,6,6,7,11,5,8,8,5,4,3,2,10,10,11,6,10,True,True,False
25,6,4,6,6,10,10,10,7,5,7,6,6,9,8,8,8,True,True,False
26,10,12,9,7,7,10,7,9,8,7,10,9,8,8,10,8,True,True,False
27,8,10,11,9,13,11,12,10,13,13,13,10,11,13,12,12,False,False,True
28,6,2,7,6,1,11,11,6,5,11,11,7,8,12,6,6,False,False,True
29,12,9,8,11,4,10,3,7,8,7,11,3,10,13,12,10,True,True,True
30,9,9,10,8,11,10,8,9,9,9,9,9,10,9,7,9,True,True,True
31,8,10,13,11,11,10,8,8,10,10,10,8,10,10,11,11,True,True,True
32,11,11,10,9,12,9,7,11,7,10,10,11,12,12,11,12,True,False,True
33,13,12,12,13,13,13,13,13,13,13,13,13,13,12,13,13,True,False,True
34,10,10,12,13,8,11,10,9,11,11,10,10,10,10,11,11,True,False,True
35,5,7,6,5,7,8,9,7,6,7,6,8,8,10,9,9,False,True,True
36,4,4,4,3,8,7,7,7,4,5,5,5,8,10,8,8,False,True,True
37,7,10,10,9,12,10,10,10,8,9,9,11,11,11,10,11,False,True,True
38,7,6,7,4,10,10,9,10,7,8,5,6,6,8,7,8,False,True,True
39,8,6,5,8,9,8,9,10,6,12,10,9,11,11,11,10,False,True,True
40,5,8,6,7,8,9,7,9,6,7,6,7,11,11,9,11,False,True,True
41,7,4,7,6,7,7,6,8,8,9,8,7,9,11,8,10,False,True,True
42,7,6,5,7,9,9,9,10,4,5,7,6,10,10,9,9,False,True,True
43,7,9,8,8,9,10,8,9,6,8,8,9,9,10,9,9,False,True,True
44,7,13,5,7,7,8,8,7,5,6,5,5,10,6,6,6,True,False,False
45,8,7,7,7,7,8,9,6,6,6,7,7,9,10,9,9,True,False,False
46,8,5,7,6,5,7,7,7,6,7,8,6,9,9,4,8,True,False,False
47,7,6,5,6,8,8,7,8,9,7,6,6,8,7,8,8,True,False,False
48,6,9,5,4,7,7,7,5,8,5,4,8,11,10,7,9,True,False,False
49,8,4,7,8,7,6,6,7,8,6,7,8,7,7,10,11,True,False,False
50,4,6,7,5,5,9,6,7,6,7,5,7,7,7,9,7,True,False,False
51,8,6,11,5,9,8,9,6,7,6,5,7,11,7,7,7,True,False,False
52,10,9,9,8,9,9,9,9,8,9,6,7,9,9,6,10,True,False,False
53,7,9,3,7,9,6,4,4,7,7,7,5,10,9,10,9,True,True,False
54,4,5,6,6,9,6,7,5,7,8,6,4,9,11,7,4,True,True,False
55,6,5,6,6,7,9,11,7,8,7,6,11,12,11,11,12,True,True,False
56,6,7,6,7,7,7,7,7,6,7,7,7,7,6,7,7,True,True,False
57,2,3,7,4,10,9,9,7,5,6,5,4,7,5,10,8,True,True,False
58,4,5,4,6,9,4,8,5,4,4,5,6,7,9,9,8,True,True,False
59,5,6,4,5,6,5,5,6,6,4,5,5,7,8,6,8,True,True,False
60,8,6,6,6,7,5,7,9,5,7,7,7,9,12,10,9,True,True,False
61,10,5,8,7,3,5,9,8,6,7,6,7,5,7,7,5,True,True,False
62,6,4,6,4,7,9,9,6,5,5,6,8,9,10,7,7,True,True,False
63,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,False,False,True
64,11,10,10,10,8,8,9,8,12,9,10,11,11,13,12,12,False,False,True
65,9,9,8,8,10,9,10,9,10,9,8,9,9,9,10,9,False,False,True
66,11,11,12,12,12,12,11,12,10,12,12,11,12,10,13,12,False,False,True
67,9,9,11,11,10,11,10,10,11,11,11,12,10,12,12,12,False,False,True
68,10,8,10,10,9,11,11,11,10,11,9,11,11,11,13,9,False,False,True
69,10,11,9,11,11,11,11,11,10,11,11,10,9,11,10,12,False,False,True
70,7,5,8,7,6,7,7,9,7,8,9,7,10,11,12,11,False,False,True
71,11,9,11,9,9,11,10,9,11,11,10,11,12,11,12,12,False,False,True
72,10,9,8,8,10,10,10,10,9,7,10,9,11,11,11,9,True,True,True
73,12,10,10,11,8,11,11,12,9,10,9,10,11,11,11,13,True,True,True
74,9,9,9,9,9,8,8,10,10,7,11,12,13,11,13,13,True,True,True
75,10,10,6,10,11,12,12,9,11,11,11,11,11,13,11,12,True,True,True
76,12,9,10,12,8,11,12,11,9,12,10,10,11,11,11,10,True,True,True
77,10,8,7,6,10,10,10,9,6,9,7,9,9,9,11,8,True,True,True
78,11,9,9,11,12,9,11,10,11,12,9,9,11,12,11,12,True,True,True
79,9,7,9,9,9,8,10,11,9,9,6,6,10,10,11,12,True,True,True
80,10,10,4,11,8,8,11,11,8,8,7,10,10,7,10,13,True,True,True
81,6,6,8,9,10,9,13,10,7,9,7,7,8,13,13,11,True,True,True
82,7,9,8,7,9,11,9,8,6,7,8,8,8,12,7,9,True,False,True
83,10,8,7,8,8,9,11,11,10,8,11,7,12,12,12,11,True,False,True
84,10,9,10,11,9,9,8,8,10,11,10,10,10,13,9,10,True,False,True
85,11,11,10,10,12,11,12,9,10,11,12,11,13,13,12,12,True,False,True
86,8,9,9,11,9,9,11,9,7,10,9,7,11,11,10,12,True,False,True
87,10,8,8,6,9,9,8,10,10,11,10,10,13,11,12,12,True,False,True
88,11,9,10,9,8,11,11,10,10,8,10,10,11,11,11,12,True,False,True
89,9,9,9,10,10,7,11,9,9,9,9,9,11,11,11,11,True,False,True
90,13,10,8,13,13,12,13,8,13,13,13,10,13,11,13,13,True,False,True
91,9,9,9,6,7,9,7,9,8,6,9,10,8,13,10,11,False,True,True
92,7,6,6,5,8,7,7,9,4,7,8,7,8,10,11,9,False,True,True
93,7,8,6,5,8,10,11,11,6,7,8,8,8,13,10,10,False,True,True
94,7,5,7,7,10,8,10,8,7,11,7,9,9,9,10,11,False,True,True
95,11,13,11,10,13,12,12,11,13,11,12,13,12,13,13,13,False,True,True
96,9,8,7,5,5,8,6,6,8,6,5,8,10,5,6,6,False,True,True
97,9,9,6,3,10,4,3,9,6,10,7,10,6,10,9,9,False,True,True
98,9,6,6,8,9,5,7,7,9,7,7,7,9,9,10,12,False,True,True
99,4,5,4,4,7,6,7,6,4,5,5,4,5,8,8,6,False,True,True
100,8,8,6,7,8,9,9,9,7,8,6,8,8,8,7,7,False,True,True
101,8,4,5,4,6,6,9,4,4,7,6,8,9,11,7,8,False,True,True
102,7,7,7,6,9,8,10,9,7,8,8,7,10,11,12,11,False,True,True
103,3,4,2,2,7,4,7,4,3,3,5,5,7,12,11,8,False,True,True
104,7,7,7,7,7,8,8,8,5,7,7,7,10,11,10,9,False,True,True
105,10,8,9,9,11,11,12,11,11,9,8,8,11,11,8,9,False,True,True
106,5,5,5,5,7,7,7,6,6,5,5,6,6,8,5,8,False,True,True
107,6,5,6,7,8,8,8,9,7,8,8,10,8,11,8,8,False,True,True
108,7,7,10,10,7,10,11,10,6,10,11,8,10,9,8,10,False,True,True
109,8,9,9,9,10,10,9,9,9,8,9,9,9,12,10,10,False,True,True
110,4,5,5,5,9,7,9,8,9,6,6,6,7,10,13,8,True,False,False
111,11,8,7,7,10,9,11,10,10,9,7,10,7,10,10,9,True,False,False
112,6,5,9,6,8,7,9,4,8,6,8,6,6,10,8,5,True,False,False
113,4,6,11,5,5,6,6,4,6,12,6,5,7,7,9,8,True,False,False
114,6,5,9,6,5,7,5,6,7,7,5,8,6,7,5,8,True,False,False
115,8,7,7,9,10,8,8,8,8,6,8,9,5,7,7,8,True,False,False
116,9,6,5,7,5,4,5,6,5,4,6,7,7,13,5,5,True,False,False
117,7,6,5,7,8,6,7,6,7,7,6,7,5,11,7,6,True,False,False
118,11,8,9,7,3,9,7,5,3,9,6,7,8,10,12,5,True,False,False
119,8,6,6,9,6,8,7,7,8,9,7,6,7,9,12,7,True,False,False
120,5,5,7,8,7,7,6,6,7,6,4,6,10,8,6,7,True,False,False
121,10,4,10,8,5,4,13,5,8,10,8,9,5,8,9,6,True,False,False
122,8,6,4,4,6,6,5,7,5,13,7,5,8,11,8,9,True,False,False
123,5,7,5,7,6,4,5,7,5,4,12,5,6,12,6,7,True,False,False
124,5,6,6,6,5,5,11,5,7,7,8,8,11,10,11,11,True,False,False
125,6,6,11,6,4,4,6,9,5,4,4,9,10,8,6,5,True,False,False
126,6,7,4,6,9,8,7,8,8,6,6,7,12,8,8,7,True,False,False
127,5,4,4,6,4,5,5,6,5,5,10,9,11,12,9,11,True,False,False
128,8,4,7,8,6,5,8,7,5,6,8,13,9,11,7,10,True,False,False
129,6,5,7,5,8,8,7,7,6,6,5,6,8,8,8,7,True,True,False
130,5,5,6,8,9,8,11,6,6,7,5,8,6,9,10,8,True,True,False
131,6,5,6,3,9,7,8,9,5,6,8,8,4,8,8,7,True,True,False
132,6,6,6,6,6,7,7,7,7,6,6,10,7,6,8,7,True,True,False
133,8,5,5,9,6,9,11,6,6,6,6,4,7,8,7,6,True,True,False
134,4,5,4,5,8,5,11,10,6,8,6,6,9,10,7,7,True,True,False
135,3,4,4,5,9,9,9,10,5,6,5,5,9,9,11,6,True,True,False
136,7,8,10,7,5,3,5,5,8,6,8,9,11,9,6,10,True,True,False
137,9,7,7,6,5,6,9,4,6,8,5,6,11,13,12,11,True,True,False
138,6,6,8,6,6,4,7,6,6,9,6,7,5,9,8,7,True,True,False
139,5,6,7,7,6,5,5,6,5,7,7,7,6,11,8,6,True,True,False
140,10,8,8,9,7,6,6,7,7,8,7,8,8,7,8,8,True,True,False
141,6,6,4,5,8,11,11,8,5,7,5,5,9,9,9,9,True,True,False
142,8,7,9,6,7,9,8,8,4,6,6,6,11,10,11,9,True,True,False
143,5,4,4,6,10,9,8,8,7,7,7,7,7,9,6,8,True,True,False
144,6,4,5,5,6,8,9,9,7,9,6,7,5,11,9,12,True,True,False
145,6,7,6,6,5,5,5,4,6,6,5,6,7,3,10,6,True,True,False
146,7,11,7,8,7,9,9,8,10,7,8,8,9,7,8,9,True,True,False
147,10,9,6,8,6,6,10,9,6,8,6,6,5,8,9,6,True,True,False
148,7,7,8,7,9,9,11,9,10,11,11,11,12,10,11,11,False,False,True
149,10,11,11,13,10,12,11,11,8,12,9,11,11,13,12,11,False,False,True
150,12,11,9,10,10,9,10,10,12,10,11,11,12,11,12,12,False,False,True
151,11,9,8,8,12,7,8,8,9,9,8,10,12,13,13,13,False,False,True
152,11,11,10,10,11,11,12,11,11,12,12,12,11,12,11,11,False,False,True
153,11,12,10,9,9,11,9,10,9,12,11,12,12,11,12,12,False,False,True
154,10,8,11,9,11,9,10,6,9,9,9,7,11,11,10,10,False,False,True
155,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,False,False,True
156,10,10,11,9,11,11,11,11,9,10,9,10,12,13,13,13,False,False,True
157,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,False,False,True
158,11,11,12,11,11,8,11,12,10,12,11,11,12,12,11,12,False,False,True
159,13,11,11,12,13,13,13,13,13,11,13,12,13,13,12,13,False,False,True
160,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,False,False,True
161,13,13,13,13,13,11,12,13,13,13,13,12,13,13,13,13,False,False,True
162,9,8,9,7,10,8,11,9,8,7,8,10,9,9,8,10,False,False,True
163,10,11,11,10,11,10,10,10,12,10,11,11,11,12,10,11,False,False,True
164,7,9,9,11,10,10,9,8,8,9,10,8,10,11,9,10,False,False,True
165,10,11,9,9,8,8,10,9,9,9,10,10,12,11,13,13,False,False,True
166,13,12,10,12,10,11,13,13,12,12,12,11,13,13,13,13,False,False,True
167,10,5,10,9,11,10,11,10,11,11,9,10,12,12,12,13,True,True,True
168,12,12,4,12,5,9,7,6,11,11,11,11,13,13,13,12,True,True,True
169,7,9,12,9,9,9,10,12,10,10,9,9,12,13,11,13,True,True,True
170,8,8,8,7,12,10,10,10,6,8,8,8,9,11,9,11,True,True,True
171,8,8,9,8,8,7,10,7,4,9,8,9,8,11,10,9,True,True,True
172,7,8,5,7,9,12,11,11,11,10,7,7,6,11,13,12,True,True,True
173,11,5,9,9,7,11,12,11,10,10,9,9,10,10,9,12,True,True,True
174,7,8,7,6,6,8,7,7,7,7,7,6,9,13,12,12,True,True,True
175,13,9,12,8,10,11,12,12,11,11,12,12,10,11,11,11,True,True,True
176,9,10,9,4,11,12,11,11,10,10,9,10,12,10,10,10,True,True,True
177,7,11,8,9,9,9,9,9,8,11,8,9,8,13,11,11,True,True,True
178,7,10,8,11,9,10,12,9,10,9,11,10,11,11,12,10,True,True,True
179,9,7,6,9,11,6,8,7,5,11,8,8,9,13,13,12,True,True,True
180,11,9,10,11,10,11,8,9,9,6,10,10,11,10,11,9,True,True,True
181,10,9,9,8,10,9,11,10,9,10,9,11,10,11,10,11,True,True,True
182,8,7,9,9,9,8,10,9,10,10,7,7,10,11,11,11,True,True,True
183,10,9,11,6,12,11,9,8,12,10,11,9,11,9,12,12,True,True,True
184,11,8,9,8,10,10,11,11,9,9,11,10,8,12,9,10,True,True,True
185,11,9,10,11,10,10,10,11,10,11,11,11,12,12,13,11,True,False,True
186,10,9,10,9,8,10,9,9,10,11,8,11,11,11,11,11,True,False,True
187,8,9,12,9,10,9,10,10,9,8,8,8,10,12,13,11,True,False,True
188,9,10,10,7,9,10,12,9,9,10,9,10,12,11,7,11,True,False,True
189,10,11,10,7,10,9,9,10,10,10,11,9,12,11,11,10,True,False,True
190,10,11,11,11,12,12,12,12,11,13,11,12,12,11,12,12,True,False,True
191,9,9,11,8,11,11,13,9,9,9,11,10,10,10,11,11,True,False,True
192,11,8,9,10,11,11,11,11,10,11,10,10,10,12,11,11,True,False,True
193,10,10,11,9,10,10,10,11,12,9,9,9,13,11,10,10,True,False,True
194,9,10,9,9,10,8,11,11,11,11,11,11,11,12,11,11,True,False,True
195,9,10,11,8,10,9,10,9,11,9,13,10,10,11,10,11,True,False,True
196,11,12,13,12,12,10,12,11,12,12,12,13,11,13,12,13,True,False,True
197,10,8,8,13,8,10,8,8,9,10,11,10,11,11,10,10,True,False,True
198,10,9,12,11,9,10,12,9,10,10,9,11,10,13,11,11,True,False,True
199,10,9,8,10,9,10,9,10,11,8,9,9,10,11,10,11,True,False,True
200,10,10,10,10,11,10,10,9,10,9,7,11,11,12,11,11,True,False,True
201,9,8,7,7,9,10,12,11,12,9,7,10,12,11,12,13,True,False,True
202,6,7,8,11,8,9,9,5,6,7,8,9,8,11,9,9,True,False,True
203,11,11,9,9,11,11,11,11,10,10,11,11,11,11,11,12,True,False,True
