,Answer.1-Conf,Answer.2-Conf,Answer.3-Conf,Answer.4-Conf,Answer.5-Conf,Answer.6-Conf,Answer.7-Conf,Answer.8-Conf,Answer.9-Conf,Answer.10-Conf,Answer.11-Conf,Answer.12-Conf,Answer.13-Conf,Answer.14-Conf,Answer.15-Conf,Answer.16-Conf,feedback,human,highacc
0,7,5,5,12,5,6,6,13,6,6,5,12,5,6,7,11,False,True,True
1,4,6,5,5,4,7,5,5,5,7,8,6,4,6,7,7,False,True,True
2,6,5,5,6,5,7,7,7,6,9,6,6,5,5,6,6,False,True,True
3,3,8,5,6,5,5,7,7,6,6,6,6,4,6,7,5,True,False,False
4,5,9,6,6,4,8,7,4,7,9,7,5,8,9,10,4,True,False,False
5,10,11,10,10,10,11,11,11,9,9,8,9,10,8,8,10,True,False,False
6,10,4,11,6,6,5,12,4,4,9,9,6,5,4,10,4,True,True,False
7,6,10,4,12,6,12,4,11,3,11,6,10,5,11,6,11,True,True,False
8,5,8,11,3,8,6,11,4,8,4,12,4,8,4,12,5,True,True,False
9,11,9,6,5,11,10,3,9,8,9,7,6,6,6,9,9,False,False,True
10,12,8,5,5,13,10,3,4,11,11,7,5,11,9,4,5,False,False,True
11,5,3,13,10,4,5,6,6,3,5,9,6,3,4,8,3,False,False,True
12,4,11,8,8,9,11,6,7,9,11,8,8,9,12,8,7,True,True,True
13,11,7,4,5,12,12,12,9,12,9,8,9,10,8,10,7,True,True,True
14,9,8,8,6,8,8,8,7,7,7,11,6,7,10,10,10,True,True,True
15,4,7,3,6,6,4,4,5,5,10,6,7,7,8,4,8,True,False,True
16,6,7,4,3,4,9,6,4,4,5,3,3,4,11,6,6,True,False,True
17,10,4,5,2,8,3,12,5,7,4,3,5,6,4,5,6,True,False,True
18,5,8,4,3,8,8,8,3,5,9,2,1,4,11,6,3,False,True,True
19,9,8,5,4,5,4,4,4,4,4,4,3,4,3,4,4,False,True,True
20,11,8,11,11,11,11,11,11,12,11,12,11,11,11,10,10,False,True,True
21,3,3,6,5,2,4,11,3,3,5,7,4,3,7,4,12,True,False,False
22,10,9,9,6,3,8,7,2,3,4,6,5,2,5,9,5,True,False,False
23,11,7,6,6,6,6,5,3,8,3,3,4,4,3,5,5,True,False,False
24,1,5,5,3,4,3,5,7,4,7,7,8,5,6,9,10,True,True,False
25,10,6,6,11,12,7,7,10,12,9,7,10,11,9,7,10,True,True,False
26,9,12,12,9,9,7,9,8,10,10,9,10,8,8,11,8,True,True,False
27,4,5,5,7,3,2,4,9,3,5,3,7,3,4,3,7,False,False,True
28,11,6,8,4,5,5,7,3,9,2,8,4,9,4,6,3,False,False,True
29,4,3,9,12,9,9,7,12,11,10,10,10,9,9,9,11,True,True,True
30,7,8,8,8,8,8,8,8,10,8,7,10,8,6,6,6,True,True,True
31,12,11,8,10,8,11,8,6,6,10,9,9,10,11,7,7,True,True,True
32,9,4,1,3,9,5,3,5,8,6,2,2,6,6,4,4,True,False,True
33,13,13,13,12,12,12,12,13,13,13,12,12,12,13,12,12,True,False,True
34,13,11,12,10,11,11,11,10,7,7,7,9,8,5,5,9,True,False,True
35,9,5,3,12,8,5,4,11,11,6,5,11,9,7,4,10,False,True,True
36,9,5,4,9,12,5,4,9,10,4,2,9,10,3,3,11,False,True,True
37,4,12,10,11,7,12,8,11,6,11,6,11,5,10,6,10,False,True,True
38,6,8,5,8,5,9,4,6,4,9,5,8,4,9,7,6,False,True,True
39,9,12,4,5,7,12,10,4,7,10,10,2,9,12,8,4,False,True,True
40,4,5,10,13,7,5,10,11,7,6,10,12,5,4,10,12,False,True,True
41,7,3,8,9,5,8,8,10,8,7,10,11,6,8,10,12,False,True,True
42,7,6,11,10,4,5,10,12,6,4,11,11,4,3,12,11,False,True,True
43,9,5,11,5,9,7,9,5,9,6,10,5,10,5,10,7,False,True,True
44,4,7,10,4,4,3,9,5,5,3,11,6,4,4,4,5,True,False,False
45,9,10,8,9,11,11,10,8,11,11,10,9,10,11,8,9,True,False,False
46,3,8,5,12,7,8,10,11,7,8,9,13,5,6,8,12,True,False,False
47,4,3,8,6,5,4,7,6,5,4,8,7,6,5,8,8,True,False,False
48,4,6,9,10,6,7,8,8,6,7,8,13,5,6,9,10,True,False,False
49,10,4,5,6,6,9,7,7,9,8,7,7,8,9,7,6,True,False,False
50,8,9,5,10,11,5,8,11,8,7,8,10,9,6,6,11,True,False,False
51,6,10,11,7,6,11,10,6,5,11,11,6,7,13,11,5,True,False,False
52,5,7,4,11,9,7,5,6,7,3,7,9,8,6,5,8,True,False,False
53,13,8,4,5,13,7,7,7,12,9,9,6,13,7,7,8,True,True,False
54,11,9,5,7,9,10,8,8,6,8,6,9,9,10,10,7,True,True,False
55,7,5,5,13,5,5,8,12,5,5,5,11,11,6,5,11,True,True,False
56,7,9,8,9,7,8,7,7,7,7,6,8,7,7,7,7,True,True,False
57,8,9,10,8,8,10,9,9,8,8,11,9,8,9,11,9,True,True,False
58,3,11,4,13,6,10,4,12,8,10,5,12,6,8,5,12,True,True,False
59,4,7,4,8,6,6,5,11,6,5,6,11,5,5,4,7,True,True,False
60,11,6,11,5,10,6,8,6,11,8,7,7,11,6,8,5,True,True,False
61,4,3,3,7,7,5,6,8,9,6,8,10,8,6,7,9,True,True,False
62,11,4,4,8,7,6,5,12,8,4,4,8,8,5,4,9,True,True,False
63,10,3,2,3,11,6,5,5,11,7,5,6,11,6,5,5,False,False,True
64,6,6,5,12,4,3,3,13,3,3,7,11,5,4,6,12,False,False,True
65,9,8,8,7,8,7,7,8,9,7,8,8,10,6,7,7,False,False,True
66,4,3,11,8,6,3,9,9,4,6,12,9,5,6,9,10,False,False,True
67,4,4,8,4,5,5,7,4,5,7,6,4,5,4,7,5,False,False,True
68,11,12,6,5,12,11,6,5,10,10,4,4,9,10,4,5,False,False,True
69,7,11,11,9,8,12,9,10,7,11,11,11,8,11,7,10,False,False,True
70,5,6,8,12,6,8,8,13,6,4,8,11,7,4,7,11,False,False,True
71,5,5,12,6,5,5,9,6,6,6,9,6,6,5,10,6,False,False,True
72,9,6,10,9,8,7,9,11,7,6,12,10,8,8,11,10,True,True,True
73,9,7,9,5,11,8,10,7,10,9,10,5,11,6,8,6,True,True,True
74,9,7,11,11,10,6,9,11,8,6,9,12,11,9,10,11,True,True,True
75,3,6,11,7,8,7,12,12,4,4,10,8,7,8,12,6,True,True,True
76,9,7,5,7,10,9,6,11,9,10,6,6,11,11,6,7,True,True,True
77,10,7,8,8,8,9,9,7,9,9,9,7,7,6,8,9,True,True,True
78,12,5,6,9,9,6,6,8,11,5,4,12,9,10,6,9,True,True,True
79,12,3,11,4,9,3,10,4,7,6,10,4,8,5,7,4,True,True,True
80,7,3,8,12,12,6,10,11,8,5,4,4,7,4,7,9,True,True,True
81,10,10,7,5,7,10,7,7,10,10,6,7,8,10,6,7,True,True,True
82,9,6,5,10,8,6,5,9,8,6,4,7,9,8,8,8,True,False,True
83,8,4,7,6,9,3,6,6,8,4,7,4,8,4,5,5,True,False,True
84,8,7,6,7,7,10,6,8,9,9,6,13,10,9,6,9,True,False,True
85,8,10,5,7,8,10,9,7,6,11,7,9,8,12,9,8,True,False,True
86,4,10,7,11,10,11,8,9,6,7,5,11,6,11,9,10,True,False,True
87,11,10,2,5,10,12,4,5,12,12,4,7,10,11,4,5,True,False,True
88,10,7,7,10,12,8,6,8,12,7,7,11,12,8,9,11,True,False,True
89,9,5,8,5,11,7,6,7,11,6,11,7,11,6,10,8,True,False,True
90,11,10,2,3,11,11,6,4,11,9,3,4,10,8,10,4,True,False,True
91,4,3,3,3,3,1,1,3,3,3,3,4,5,4,5,6,False,True,True
92,4,8,4,3,5,9,7,3,7,6,3,3,6,8,4,4,False,True,True
93,1,5,1,4,3,4,2,6,3,5,2,10,2,9,3,8,False,True,True
94,6,10,6,7,6,9,6,9,8,9,5,7,8,10,7,7,False,True,True
95,12,9,8,6,9,10,8,6,5,6,8,4,10,10,10,6,False,True,True
96,6,5,10,4,3,8,11,7,5,4,6,6,7,5,9,6,False,True,True
97,6,3,10,6,5,8,6,3,2,7,7,5,4,3,6,8,False,True,True
98,10,8,3,2,7,11,5,2,10,12,2,3,7,11,2,3,False,True,True
99,5,11,5,8,5,11,5,7,6,9,6,10,6,11,5,10,False,True,True
100,9,7,7,6,10,4,8,7,8,7,6,6,9,6,8,6,False,True,True
101,2,4,9,4,6,11,9,6,7,8,12,9,5,6,10,5,False,True,True
102,13,10,8,7,13,11,7,4,11,12,6,7,12,10,7,6,False,True,True
103,5,12,1,3,6,8,4,1,4,9,3,2,4,6,4,1,False,True,True
104,7,7,13,12,7,6,10,10,7,8,12,11,8,6,10,10,False,True,True
105,11,9,11,5,8,5,12,6,7,5,11,9,10,10,11,10,False,True,True
106,5,4,4,8,4,5,4,9,5,4,4,11,4,4,6,7,False,True,True
107,4,7,11,11,5,6,10,9,6,10,10,5,4,7,9,9,False,True,True
108,11,9,9,8,9,7,9,10,11,10,10,11,11,10,11,11,False,True,True
109,11,7,7,11,8,8,5,10,9,7,7,11,11,9,7,10,False,True,True
110,11,3,9,3,10,5,9,3,11,4,10,3,9,4,11,3,True,False,False
111,6,5,6,7,10,8,6,7,9,10,7,8,10,6,10,8,True,False,False
112,10,10,8,11,11,9,6,11,11,9,8,10,13,10,6,11,True,False,False
113,4,7,11,13,10,8,7,13,5,5,6,11,7,7,6,12,True,False,False
114,4,10,7,11,7,7,4,8,7,9,7,10,7,9,6,7,True,False,False
115,7,5,8,5,9,8,7,6,10,7,8,4,11,11,10,8,True,False,False
116,7,10,11,6,3,8,13,6,8,9,8,4,6,6,10,5,True,False,False
117,13,7,3,5,11,8,8,4,12,12,5,7,11,5,8,6,True,False,False
118,6,12,5,12,6,10,6,12,9,12,10,13,7,9,8,10,True,False,False
119,9,3,10,3,11,5,12,3,5,2,11,3,6,4,10,7,True,False,False
120,4,11,6,9,8,11,7,7,9,11,5,9,6,9,8,8,True,False,False
121,11,9,4,5,12,11,4,6,11,11,7,8,11,11,5,5,True,False,False
122,10,13,11,9,8,13,9,10,10,13,11,7,9,12,10,8,True,False,False
123,4,6,12,7,4,6,4,5,6,7,5,5,5,6,8,4,True,False,False
124,10,5,5,7,10,7,4,10,13,5,5,8,10,6,7,9,True,False,False
125,5,7,10,9,7,7,10,8,7,7,12,8,8,7,10,8,True,False,False
126,9,10,6,5,9,11,7,5,10,9,7,5,10,11,7,8,True,False,False
127,3,2,3,10,5,3,3,10,4,4,4,11,4,3,5,12,True,False,False
128,11,13,7,11,12,12,10,12,10,11,8,9,8,12,10,11,True,False,False
129,7,4,9,4,7,5,11,5,7,4,9,5,6,5,10,6,True,True,False
130,11,3,5,7,5,3,8,6,7,4,4,8,8,5,8,10,True,True,False
131,7,6,8,10,11,4,9,9,10,5,10,11,10,6,9,11,True,True,False
132,2,3,1,3,2,2,2,4,3,2,3,4,3,2,3,3,True,True,False
133,9,5,12,10,8,7,9,8,9,7,10,11,9,6,12,10,True,True,False
134,4,11,11,5,4,10,11,5,3,11,9,5,4,10,10,10,True,True,False
135,4,5,12,12,5,6,13,10,4,6,13,12,4,7,13,12,True,True,False
136,4,3,5,6,4,4,6,7,5,5,6,7,4,4,6,7,True,True,False
137,6,5,12,4,4,4,10,8,6,5,10,5,4,9,11,4,True,True,False
138,3,7,5,10,5,6,6,8,5,4,9,9,9,7,9,11,True,True,False
139,9,6,7,11,10,9,7,9,9,9,9,9,10,9,8,12,True,True,False
140,10,8,10,9,10,9,8,8,9,8,9,10,11,8,10,8,True,True,False
141,4,10,4,5,4,11,5,5,8,11,7,7,5,11,10,6,True,True,False
142,8,11,7,6,8,11,10,8,8,11,9,5,9,13,6,6,True,True,False
143,4,5,6,11,6,8,6,8,5,6,6,10,8,8,7,7,True,True,False
144,5,5,9,8,8,8,9,11,8,9,6,11,8,8,9,9,True,True,False
145,5,5,3,9,8,9,5,8,5,4,7,7,5,8,8,9,True,True,False
146,9,11,8,10,9,6,8,7,8,4,7,8,8,8,7,8,True,True,False
147,3,5,3,4,4,6,3,8,4,6,5,5,4,10,4,6,True,True,False
148,12,5,8,8,12,5,7,11,11,4,10,9,11,8,9,10,False,False,True
149,8,11,9,8,4,9,8,8,8,10,10,6,7,8,9,5,False,False,True
150,5,8,12,6,6,7,11,7,8,8,11,6,6,8,11,6,False,False,True
151,4,7,4,12,4,4,5,12,5,4,4,9,6,8,5,11,False,False,True
152,4,5,7,6,8,9,7,8,8,7,9,8,9,8,8,8,False,False,True
153,11,6,7,6,13,4,7,7,11,5,5,5,9,7,4,6,False,False,True
154,9,8,6,7,9,11,7,8,8,9,7,9,11,11,8,11,False,False,True
155,5,5,4,5,5,6,5,5,7,6,5,5,4,6,5,4,False,False,True
156,4,3,5,8,4,4,6,13,3,6,5,11,3,3,7,11,False,False,True
157,5,7,4,5,3,6,3,5,4,9,2,6,5,8,3,6,False,False,True
158,9,8,8,6,10,10,9,6,8,9,8,6,8,9,8,6,False,False,True
159,6,7,7,6,5,5,6,6,4,6,5,6,7,9,7,9,False,False,True
160,2,7,11,9,3,6,10,7,5,11,9,7,5,9,11,8,False,False,True
161,4,8,8,9,5,6,7,9,6,7,6,8,3,6,6,11,False,False,True
162,6,11,7,5,4,8,6,5,4,9,5,4,5,8,8,6,False,False,True
163,11,10,11,7,11,8,9,8,10,9,11,8,11,11,11,10,False,False,True
164,5,9,11,5,5,4,8,8,5,6,7,5,7,6,7,5,False,False,True
165,11,7,8,5,9,6,6,2,6,7,6,2,9,7,8,4,False,False,True
166,11,9,8,9,11,10,8,7,8,6,7,8,12,10,6,7,False,False,True
167,4,6,6,12,5,4,10,10,6,4,6,11,5,8,10,11,True,True,True
168,6,8,13,9,11,10,13,4,9,9,12,5,9,11,13,7,True,True,True
169,12,13,3,4,8,11,3,6,10,12,4,6,11,10,5,5,True,True,True
170,6,5,8,8,5,6,9,9,6,5,11,8,5,5,11,8,True,True,True
171,5,9,9,9,9,10,5,8,6,7,6,7,7,7,5,7,True,True,True
172,5,5,12,13,9,7,11,10,10,4,13,8,9,4,11,11,True,True,True
173,6,13,11,10,8,11,11,8,5,13,12,8,7,12,12,8,True,True,True
174,11,8,4,5,11,5,5,5,12,3,5,5,13,5,5,4,True,True,True
175,13,4,11,6,12,9,12,9,11,7,11,8,11,6,11,8,True,True,True
176,3,6,6,4,6,5,6,4,7,5,6,5,7,5,6,5,True,True,True
177,10,9,6,9,9,7,7,7,13,10,7,8,11,8,8,7,True,True,True
178,10,11,10,9,9,13,10,9,10,13,12,11,8,12,12,10,True,True,True
179,4,4,12,7,6,6,11,7,6,5,13,7,9,6,13,8,True,True,True
180,10,8,3,11,11,8,4,10,11,11,8,9,10,8,8,9,True,True,True
181,8,9,11,7,10,7,10,8,10,10,11,8,9,7,11,9,True,True,True
182,7,9,10,10,8,6,5,10,7,6,7,10,11,9,5,10,True,True,True
183,6,2,12,4,10,3,11,6,9,4,12,7,5,4,11,7,True,True,True
184,13,3,5,9,11,9,7,9,12,6,5,6,12,6,5,8,True,True,True
185,11,8,11,8,12,7,11,5,12,5,10,9,10,7,9,7,True,False,True
186,7,12,5,6,6,9,6,8,5,9,7,9,8,10,6,9,True,False,True
187,7,9,11,6,7,7,12,8,10,11,10,8,11,11,9,7,True,False,True
188,8,13,5,6,8,13,7,7,9,13,6,8,7,10,8,9,True,False,True
189,8,5,8,4,6,9,8,5,9,8,10,4,7,6,11,4,True,False,True
190,7,4,11,9,5,3,11,10,5,4,8,8,8,7,10,10,True,False,True
191,10,11,8,6,11,11,6,7,7,11,8,5,8,10,7,7,True,False,True
192,10,6,8,7,10,9,5,8,9,8,5,10,9,5,4,7,True,False,True
193,4,5,11,10,8,5,6,11,8,6,10,10,7,7,9,9,True,False,True
194,6,12,4,7,9,11,6,10,8,13,5,10,8,11,6,9,True,False,True
195,9,4,6,7,4,4,6,9,10,3,4,5,6,4,6,9,True,False,True
196,12,12,8,9,9,11,10,12,9,12,8,6,9,12,9,10,True,False,True
197,9,7,7,8,7,8,7,8,9,8,8,10,9,8,8,11,True,False,True
198,12,7,7,10,8,5,7,7,10,8,8,6,8,6,8,7,True,False,True
199,3,5,7,9,5,7,8,10,7,9,8,9,6,8,9,10,True,False,True
200,1,2,3,10,2,6,4,5,3,3,3,6,4,8,4,7,True,False,True
201,7,4,6,4,9,5,8,3,9,4,8,3,10,8,7,4,True,False,True
202,3,11,3,8,2,8,4,7,2,6,3,5,5,5,7,2,True,False,True
203,4,10,12,2,3,9,11,3,4,9,12,6,7,11,7,5,True,False,True
