,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9,PID_10,PID_11,PID_12,PID_13,PID_14,PID_15,PID_16
0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
2,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
4,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
5,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
6,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
7,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
8,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
9,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
10,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
11,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
12,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
13,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
14,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
15,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
16,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
17,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
18,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
19,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
20,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
21,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
22,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
23,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
24,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
25,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
26,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
27,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
28,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
29,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
30,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
31,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
32,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
33,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
34,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
35,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
36,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
37,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
38,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
39,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
40,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
41,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
42,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
43,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
44,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
45,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
46,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
47,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
48,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
49,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
50,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
51,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
52,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
53,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
54,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
55,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
56,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
57,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
58,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
59,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
60,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
61,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
62,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
63,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
64,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
65,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
66,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
67,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
68,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
69,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
70,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
71,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
72,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2
73,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
74,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
75,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
76,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
77,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
78,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
79,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
80,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
81,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
82,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
83,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
84,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
85,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
86,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
87,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
88,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
89,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
90,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
91,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
92,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
93,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
94,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
95,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
96,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
97,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
98,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
99,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
100,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
101,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
102,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
103,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
104,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
105,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
106,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
107,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
108,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
109,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
110,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
111,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
112,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
113,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
114,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
115,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
116,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
117,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
118,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
119,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
120,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
121,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
122,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
123,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
124,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
125,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
126,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
127,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
128,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
129,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
130,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
131,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2
132,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
133,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
134,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
135,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
136,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
137,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
138,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
139,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
140,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
141,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
142,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
143,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
144,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
145,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
146,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
147,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
148,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
149,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
150,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
151,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
152,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
153,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
154,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
155,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
156,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
157,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
158,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
159,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
160,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
161,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
162,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
163,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
164,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
165,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
166,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
167,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
168,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
169,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
170,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
171,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
172,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
173,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
174,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
175,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
176,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
177,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
178,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3
179,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2
180,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
181,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
182,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
183,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
184,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
185,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
186,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
187,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
188,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
189,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2
190,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
191,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
192,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
193,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
194,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
195,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
196,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
197,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
198,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
199,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
200,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
201,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
202,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
203,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
